"","ID","Station Name","Street Address","Location","geometry"
"52",65015,"CFP II, LLC 206","240 E Illinois St","(41.891113, -87.620957)",c(-87.620957, 41.891113)
"53",233234,"640 N LASALLE STATION #1","640 N La Salle St","(41.893633, -87.6329)",c(-87.6329, 41.893633)
"54",60987,"Western Avenue Nissan","7410 S Western Ave","(41.758552, -87.683346)",c(-87.683346, 41.758552)
"55",309296,"530210 : University of Chicago Booth School of Business - Harper Center","5807 South Woodlawn Avenue","(41.7891387, -87.5954555)",c(-87.5954555, 41.7891387)
"56",151752,"Addison & Clark","3554 N Sheffield Ave","(41.946911, -87.6548165)",c(-87.6548165, 41.946911)
"57",261690,"CHICAGO PARK HQ EV CHARGER #1","4830 S Western Ave","(41.804881, -87.686415)",c(-87.686415, 41.804881)
"58",86219,"PARKING GARAGE GARAGE LEVEL 1","118 N Jefferson St","(41.883868, -87.642736)",c(-87.642736, 41.883868)
"59",196358,"VOLVO VOLVO SRVCDRIVE","1924 N Paulina St","(41.917159, -87.67056)",c(-87.67056, 41.917159)
"60",150688,"Greenway Parking Garage - Tesla Destination","60 W Kinzie","(41.889236, -87.630247)",c(-87.630247, 41.889236)
"61",180622,"PEOPLES GAS EV13","4025 W Peterson Ave North Shop","(41.98952, -87.730309)",c(-87.730309, 41.98952)
"62",192678,"CHI PUB SCHOOLS CVS","8542 S Chappel Ave","(41.739279, -87.574212)",c(-87.574212, 41.739279)
"63",202789,"INTERPARK 217WASHINGTON 1","217 W Washington St","(41.883001, -87.634264)",c(-87.634264, 41.883001)
"64",262195,"Valmont Chicago","4647 W Polk St","(41.869976, -87.7419433)",c(-87.7419433, 41.869976)
"65",186381,"ADVOCATE IL MASONIC 6","931 W Wellington Ave","(41.936046, -87.652141)",c(-87.652141, 41.936046)
"66",114159,"The Guesthouse Hotel, a Select Registry Property - Tesla Destination","4872 N Clark St","(41.970814, -87.6677516)",c(-87.6677516, 41.970814)
"67",173545,"UNITED ORD LOT UNITED 6","5600 Bessie Coleman Dr","(41.981234, -87.888678)",c(-87.888678, 41.981234)
