"","ID","Station Name","Street Address","Location","geometry"
"223",189753,"STERLING BAY GREEN STREET 1","333 N Green St","(41.888024, -87.648561)",c(-87.648561, 41.888024)
"224",98761,"Berman Nissan - Chicago","3456 N Kedzie Ave","(41.943587, -87.708212)",c(-87.708212, 41.943587)
"225",236280,"PARKING B LOT B FLOOR8 #2","259 E Erie St","(41.893693, -87.620932)",c(-87.620932, 41.893693)
"226",171567,"540 W. MADISON LL1 - 3","540 West Madison St","(41.883025, -87.642101)",c(-87.642101, 41.883025)
"227",260954,"300 E. Randolph Unit #2","300 E. Randolph","(41.8846651, -87.6199166)",c(-87.6199166, 41.8846651)
"228",202952,"INTERPARK 217WASHINGTON 3","219 W Washington St","(41.883001, -87.634317)",c(-87.634317, 41.883001)
"229",174560,"SOLDIER FIELD STATION 03","1410 Museum Campus Dr","(41.863455, -87.616349)",c(-87.616349, 41.863455)
"230",151744,"New City Development","1457 N Halsted","(41.908476, -87.6476645)",c(-87.6476645, 41.908476)
"231",183397,"SOLSTICE APTS EV STATION 02","1616 E 56th St","(41.793733, -87.586153)",c(-87.586153, 41.793733)
"232",253521,"The Shops at North Bridge Grant St","520 N Michigan Ave","(41.891844, -87.626446)",c(-87.626446, 41.891844)
"233",180624,"PEOPLES GAS EV1","4341 W 35th Pl Logistics Support","(41.989385, -87.730277)",c(-87.730277, 41.989385)
"234",192929,"RUSH PARKING STATION 02","1641 w harrison st","(41.873913, -87.668106)",c(-87.668106, 41.873913)
"235",171694,"900 SELF PARK PLUG AND SHOP 1","911 N. Rush St","(41.89982, -87.626379)",c(-87.626379, 41.89982)
"236",186340,"Jewel Osco 2940 North Ashland Chicago","2940 North Ashland","(41.935462, -87.669719)",c(-87.669719, 41.935462)
"237",202705,"The Mason","180 North Ada Street","(41.8849796, -87.6611185)",c(-87.6611185, 41.8849796)
"238",149766,"Target T2613 - Chicago, IL","1200 N Larrabee St","(41.90421, -87.64352)",c(-87.64352, 41.90421)
"239",151756,"The Shops at North Bridge Rush St","520 N Michigan Ave","(41.8911105, -87.625614)",c(-87.625614, 41.8911105)
"240",185441,"ADVOCATE IL MASONIC 5","915 W. Wellington Ave","(41.936149, -87.652221)",c(-87.652221, 41.936149)
"241",235401,"Millennium Parking Garages","5 S Columbus Dr","(41.88239071834324, -87.62066039416824)",c(-87.6206603941682, 41.8823907183432)
"242",202908,"INTERPARK ONTARIO-CLAIR2","177 N Wells St","(41.885402, -87.633583)",c(-87.633583, 41.885402)
"243",114156,"Grant Park North - Tesla Destination","25 N Michigan Ave","(41.882267, -87.624325)",c(-87.624325, 41.882267)
"244",82637,"ELECTRONIC THE BERNADIN","750 N Wabash Ave","(41.896407, -87.626875)",c(-87.626875, 41.896407)
"245",220422,"LINCOLN COMMON LINCOLN COMMON","2316 N Lincoln Ave","(41.924266, -87.647382)",c(-87.647382, 41.924266)
"246",122434,"Fast Park & Relax Chicago MDW - Tesla Destination","5230 S Cicero","(41.79721, -87.74639)",c(-87.74639, 41.79721)
"247",189906,"UIC Maxwell Parking Structure","701 W Maxwell St","(41.864589, -87.645463)",c(-87.645463, 41.864589)
"248",217315,"HRC WEST 1 HYATT HOTEL 1","310 N Stetson Ave","(41.887424, -87.622006)",c(-87.622006, 41.887424)
"249",322582,"NORTHWESTERN HURON GARAGE 2","231 E Huron St","(41.895343, -87.62198)",c(-87.62198, 41.895343)
"250",151748,"United Center South Entrance","1901 West Madison St","(41.879903, -87.6741505)",c(-87.6741505, 41.879903)
"251",236281,"PARKING B LOT B FLOOR9 #2","240 E Ontario St","(41.893564, -87.620899)",c(-87.620899, 41.893564)
"252",166725,"Jewel Osco 5343 N Broadway Chicago","5343 N Broadway","(41.978844, -87.659321)",c(-87.659321, 41.978844)
"253",201402,"DRAKE TOWER DRAKE 2","172 E Walton Pl","(41.900208, -87.622655)",c(-87.622655, 41.900208)
"254",182168,"PEOPLES GAS PETC 1","4228 W 35th Pl PETC","(41.831199, -87.730815)",c(-87.730815, 41.831199)
"255",235668,"6750 ENTRTANCE WEST","6750 W Grand Ave","(41.923835, -87.794442)",c(-87.794442, 41.923835)
"256",170734,"PEOPLES GAS PETC 2","4228 W 35th Pl PETC","(41.831297, -87.73148)",c(-87.73148, 41.831297)
"257",174138,"HF HF-2","3740 N Halsted St","(41.950568, -87.649802)",c(-87.649802, 41.950568)
"258",40794,"O'Hare Airport - Short Term Parking","10000 W O'Hare Ave","(41.97850582311076, -87.90328000006105)",c(-87.903280000061, 41.9785058231108)
"259",205432,"Cityfront Place Parking Garage - 3rd Floor Right","400 N. McClurg Court","(41.8891899, -87.6181012)",c(-87.6181012, 41.8891899)
"260",193520,"PRUDENTIALPLAZA STATION 02","310 N Stetson Ave","(41.887424, -87.622235)",c(-87.622235, 41.887424)
"261",58326,"3RD FLOOR GREENWAY-3","60 W Kinzie St","(41.889356, -87.630403)",c(-87.630403, 41.889356)
"262",156610,"ENGLEWOOD STATION 2","740 W 69th St","(41.7691, -87.635735)",c(-87.635735, 41.7691)
"263",228117,"Walgreens - West Fullerton","1520 W Fullerton Ave","(41.92571, -87.66618)",c(-87.66618, 41.92571)
"264",191468,"1035 Van Buren - Garage - ParkChirp","1035 W Van Buren St","(41.8767996, -87.6532026)",c(-87.6532026, 41.8767996)
"265",164758,"Echelon Garage","353 N DesPlaines St","(41.87167, -87.626889)",c(-87.626889, 41.87167)
"266",169113,"Sofitel Chicago - Tesla Destination","20 E Chestnut St","(41.898653, -87.627307)",c(-87.627307, 41.898653)
"267",60584,"PARKING A DREXEL GARAGE","6054-6098 S Drexel Ave","(41.784474, -87.604518)",c(-87.604518, 41.784474)
"268",180607,"BUCK MANAGEMENT LEVEL 2 324","845 W Madison St","(41.880838, -87.649007)",c(-87.649007, 41.880838)
"269",215053,"425 S. FIN PLAC 440LASALLE2","425 S Financial Pl","(41.876317, -87.632933)",c(-87.632933, 41.876317)
"270",257535,"640 N LASALLE STATION #2","640 N La Salle St","(41.893689, -87.632994)",c(-87.632994, 41.893689)
"271",171742,"PARKING GARAGE P3 GW","111 S Wacker Dr","(41.880286, -87.636538)",c(-87.636538, 41.880286)
"272",185393,"MILLENNIUM GRGS MPG PILOT #1","5 S Columbus Dr","(41.882554, -87.620935)",c(-87.620935, 41.882554)
"273",102156,"The Maxwell - Tesla Supercharger","1100 South Canal Street","(41.869126, -87.639971)",c(-87.639971, 41.869126)
"274",236276,"PARKING B LOT B FLOOR9 #1","240 E Ontario St","(41.89356, -87.620879)",c(-87.620879, 41.89356)
"275",174559,"SOLDIER FIELD STATION 01","1410 Museum Campus Dr","(41.863495, -87.616445)",c(-87.616445, 41.863495)
"276",86015,"OPTIMA OPTIMA 4","220 E Illinois St","(41.891107, -87.62139)",c(-87.62139, 41.891107)
"277",147819,"One Eleven","111 W Wacker Dr","(41.8865153, -87.6314343)",c(-87.6314343, 41.8865153)
"278",194151,"TARGET T0942 STATION 1","2656 N Elston Ave","(41.927939, -87.685991)",c(-87.685991, 41.927939)
"279",180617,"PEOPLES GAS CENTRAL EV3","4207 W 35th Pl Central Shop","(41.989425, -87.730459)",c(-87.730459, 41.989425)
"280",253419,"175 W JACKSON 175 W JACKSON","175 Jackson Blvd","(41.877872, -87.6332)",c(-87.6332, 41.877872)
"281",78492,"RPS ROGERS PARK SOL","7331 N Sheridan Rd","(42.014848, -87.664015)",c(-87.664015, 42.014848)
"282",180623,"PEOPLES GAS CENTRAL EV6","4207 W 35th Pl Central Shop","(41.989265, -87.730288)",c(-87.730288, 41.989265)
"283",172817,"OPTIMA OPTIMA 3","220 E Illinois St","(41.891113, -87.621403)",c(-87.621403, 41.891113)
"284",228123,"Jewel-Osco","3400 N Western Ave","(41.943222, -87.689259)",c(-87.689259, 41.943222)
"285",189752,"STERLING BAY GREEN STREET 2","333 N Green St","(41.888024, -87.648604)",c(-87.648604, 41.888024)
"286",151875,"AMC CLASSIC Galewood Crossings 14","5530 W Homer St","(41.91551575, -87.764428)",c(-87.764428, 41.91551575)
"287",171619,"INTERPARK 50 EAST OHIO 1","50 E Ohio St","(41.892773, -87.625687)",c(-87.625687, 41.892773)
"288",202795,"INTERPARK 200 N CLARK 2","200 N Clark St","(41.885939, -87.631256)",c(-87.631256, 41.885939)
"289",218192,"Parq Fulton","1400 West Randolph Street","(41.8845457, -87.6626597)",c(-87.6626597, 41.8845457)
"290",185442,"ADVOCATE IL MASONIC 3","933 w. Nelson Ave","(41.93704, -87.652759)",c(-87.652759, 41.93704)
"291",151757,"Jewel Osco 5516 N Clark St Chicago IL","5516 North Clark St","(41.982498, -87.6691375)",c(-87.6691375, 41.982498)
"292",262338,"Inland Steel Building Garage","53 S. Dearborn St.","(41.88124376024821, -87.62923300266266)",c(-87.6292330026627, 41.8812437602482)
"293",204708,"401NMAPARKING 401 N MICHIGAN","150 E Lower North Water St","(41.889778, -87.623525)",c(-87.623525, 41.889778)
"294",114165,"Park Hyatt Chicago - Tesla Destination","800 N Michigan Ave","(41.896792, -87.625142)",c(-87.625142, 41.896792)
"295",192930,"RUSH PARKING STATION 01","1641 W Harrison St","(41.87393, -87.66806)",c(-87.66806, 41.87393)
"296",309466,"Cornell Village Underground Garage","5201 S Cornell Ave","(41.800975, -87.5854957)",c(-87.5854957, 41.800975)
"297",184701,"EPA Chicago","303 S Clark St","(41.877992, -87.630422)",c(-87.630422, 41.877992)
"298",202790,"INTERPARK ONTARIO-CLAIR 1","614 N St Clair St","(41.893159, -87.623033)",c(-87.623033, 41.893159)
"299",36619,"INTERPARK 50 EAST OHIO 2","50 E Ohio St","(41.892757, -87.626038)",c(-87.626038, 41.892757)
"300",117144,"Taylor Street Library and Apartments","1342 W Taylor St","(41.8698, -87.6605)",c(-87.6605, 41.8698)
"301",64452,"1000 LAKE SHORE 1000 LSD","130-138 E Oak St","(41.90085, -87.62452)",c(-87.62452, 41.90085)
"302",180619,"PEOPLES GAS EV16","4025 W Peterson Ave North Shop","(41.989433, -87.730298)",c(-87.730298, 41.989433)
"303",260952,"300 E. Randolph - Unit #1","300 E. Randolph","(41.8846651, -87.6199166)",c(-87.6199166, 41.8846651)
"304",306759,"TARGET T3871 STATION 1","5064 S Merrimac Ave","(41.813259, -87.722241)",c(-87.722241, 41.813259)
"305",173546,"UNITED ORD LOT UNITED 5","5600 Bessie Coleman Dr","(41.98128, -87.888622)",c(-87.888622, 41.98128)
"306",163425,"BUCK MANAGEMENT LEVEL 2 327","845 W Madison","(41.880655, -87.648861)",c(-87.648861, 41.880655)
"307",61218,"PARKING GARAGE 111SW STATION 2","111 S Wacker Dr","(41.880164, -87.636483)",c(-87.636483, 41.880164)
"308",151753,"Jewel Osco 4250 N Lincoln Chicago IL","4250 N Lincoln","(41.9587395, -87.682646)",c(-87.682646, 41.9587395)
"309",114160,"Millennium Lakeside Garage - Tesla Destination","5 S Columbus Dr","(41.882094, -87.620496)",c(-87.620496, 41.882094)
